id,idiom,meaning,source_sentence,literal_meaning,expected_translation_note,condition,system,translated_text,back_translation,meaning_preserved,literal_translation,confidence,failure_type,judge_explanation
51,jump the gun,act too soon,We jumped the gun by announcing before approval.,jump over a firearm,Should convey premature action.,context,google-translate,Nos apresuramos al anunciar antes de la aprobación.,,True,False,0.9,none,The translation conveys the intended meaning of acting too soon by using a different expression that captures the essence of the idiom.
52,jump the gun,act too soon,jump the gun,jump over a firearm,Should convey premature action.,isolated,google-translate,saltar el arma,,False,True,0.2,literalized_idiom,The translation 'saltar el arma' is a literal rendering and does not convey the intended meaning of acting too soon.
53,keep an eye on,watch carefully,Can you keep an eye on my bag while I order?,retain an eye on something,Should convey monitoring.,context,google-translate,¿Puedes vigilar mi bolso mientras hago el pedido?,,True,False,0.9,none,The translation conveys the intended meaning of watching carefully.
54,keep an eye on,watch carefully,keep an eye on,retain an eye on something,Should convey monitoring.,isolated,google-translate,vigilar,,True,False,0.9,none,The translation 'vigilar' effectively conveys the intended meaning of watching carefully.
55,miss the boat,lose an opportunity,Investors who waited missed the boat.,fail to catch a boat,Should convey missed chance.,context,google-translate,Los inversores que esperaron perdieron la oportunidad.,,True,False,0.9,none,The translation conveys the intended meaning of losing an opportunity.
56,miss the boat,lose an opportunity,miss the boat,fail to catch a boat,Should convey missed chance.,isolated,google-translate,perder el barco,,False,True,0.4,literalized_idiom,The translation 'perder el barco' is a literal translation that does not convey the idiomatic meaning of losing an opportunity.
57,no strings attached,without conditions,They offered the scholarship with no strings attached.,without physical strings,Should convey no obligations.,context,google-translate,Ofrecieron la beca sin condiciones.,,True,False,0.95,none,The translation conveys the intended meaning of 'without conditions' accurately.
58,no strings attached,without conditions,no strings attached,without physical strings,Should convey no obligations.,isolated,google-translate,Sin condiciones,,True,False,0.9,none,The translation 'Sin condiciones' accurately conveys the intended meaning of 'no strings attached' as being without conditions or obligations.
59,off the hook,free from responsibility or trouble,"The evidence cleared her, so she's off the hook.",removed from a hook,Should convey release from blame.,context,google-translate,"La evidencia la absolvió, así que está libre de culpa.",,True,False,0.9,none,The translation conveys the intended meaning of being free from responsibility or blame.
60,off the hook,free from responsibility or trouble,off the hook,removed from a hook,Should convey release from blame.,isolated,google-translate,fuera del gancho,,False,True,0.2,literalized_idiom,The translation 'fuera del gancho' is a literal rendering and does not convey the intended meaning of being free from responsibility.
61,put all your eggs in one basket,risk everything on one plan,Don't put all your eggs in one basket with a single client.,place eggs into one container,Should convey concentrated risk.,context,google-translate,No pongas todos tus huevos en la misma canasta con un solo cliente.,,True,True,0.9,none,"The translation conveys the intended meaning of risking everything on one plan, even though it is a literal translation."
62,put all your eggs in one basket,risk everything on one plan,put all your eggs in one basket,place eggs into one container,Should convey concentrated risk.,isolated,google-translate,pon todos tus huevos en una sola canasta,,False,True,0.8,literalized_idiom,The translation is a literal rendering of the idiom and does not convey the intended meaning of risking everything on one plan.
63,read between the lines,infer hidden meaning,You have to read between the lines in his email.,read text spaces,Should convey inference.,context,google-translate,Tienes que leer entre líneas en su correo electrónico.,,True,False,0.9,none,"The Spanish translation conveys the intended meaning of inferring hidden meaning, which aligns with the original idiom."
64,read between the lines,infer hidden meaning,read between the lines,read text spaces,Should convey inference.,isolated,google-translate,leer entre lineas,,True,True,0.9,none,"The Spanish translation conveys the intended meaning of inferring hidden meaning, despite being a literal translation."
65,see eye to eye,agree fully,We don't always see eye to eye on politics.,two eyes seeing each other,Should convey agreement.,context,google-translate,No siempre estamos de acuerdo en política.,,True,False,0.9,none,The translation conveys the intended meaning of agreeing fully.
66,see eye to eye,agree fully,see eye to eye,two eyes seeing each other,Should convey agreement.,isolated,google-translate,ver cara a cara,,False,True,0.2,meaning_shift,The translation 'ver cara a cara' does not convey the meaning of agreement; it suggests a face-to-face encounter instead.
67,sit on the fence,remain undecided,She keeps sitting on the fence about the merger.,physically sit on a fence,Should convey indecision.,context,google-translate,Ella sigue indecisa sobre la fusión.,,True,False,0.9,none,The translation conveys the intended meaning of being undecided.
68,sit on the fence,remain undecided,sit on the fence,physically sit on a fence,Should convey indecision.,isolated,google-translate,no tomar partido,,True,False,0.9,none,The translation 'no tomar partido' effectively conveys the intended meaning of remaining undecided.
69,take it with a grain of salt,view skeptically,Take his market predictions with a grain of salt.,consume with salt,Should convey skepticism.,context,google-translate,Tome sus predicciones de mercado con cautela.,,True,False,0.9,none,"The translation conveys the intended meaning of viewing the predictions skeptically, even though it uses a different expression."
70,take it with a grain of salt,view skeptically,take it with a grain of salt,consume with salt,Should convey skepticism.,isolated,google-translate,tómalo con un grano de sal,,False,True,0.3,meaning_shift,The translation is a literal rendering and does not convey the intended meaning of skepticism.
71,through thick and thin,through all difficulties,They supported each other through thick and thin.,through dense and thin substances,Should convey loyalty through hardship.,context,google-translate,Se apoyaron mutuamente en las buenas y en las malas.,,True,False,0.9,none,The translation conveys the intended meaning of loyalty through hardship effectively.
72,through thick and thin,through all difficulties,through thick and thin,through dense and thin substances,Should convey loyalty through hardship.,isolated,google-translate,superando cualquier dificultad,,True,False,0.9,none,The translation conveys the intended meaning of enduring difficulties.
73,throw in the towel,give up,"After years of losses, the owner threw in the towel.",toss a towel,Should convey surrender.,context,google-translate,"Tras años de pérdidas, el propietario tiró la toalla.",,True,True,0.9,none,"The translation conveys the intended meaning of giving up, as 'tirar la toalla' is a recognized idiom in Spanish that means to surrender or give up."
74,throw in the towel,give up,throw in the towel,toss a towel,Should convey surrender.,isolated,google-translate,tirar la toalla,,True,True,0.9,none,The Spanish translation 'tirar la toalla' conveys the same meaning of giving up or surrendering.
75,under your nose,in an obvious place unnoticed,The keys were under your nose the whole time.,beneath a nose,Should convey obvious but unnoticed location.,context,google-translate,Las llaves estuvieron delante de tus narices todo el tiempo.,,True,False,0.9,none,The translation conveys the intended meaning of something being obvious yet unnoticed.
76,under your nose,in an obvious place unnoticed,under your nose,beneath a nose,Should convey obvious but unnoticed location.,isolated,google-translate,debajo de tu nariz,,False,True,0.2,literalized_idiom,The translation is a literal rendering and does not convey the intended meaning of something being obvious yet unnoticed.
77,up in the air,uncertain,Our travel plans are still up in the air.,floating in the sky,Should convey uncertainty.,context,google-translate,Nuestros planes de viaje aún están en el aire.,,True,False,0.9,none,The Spanish translation conveys the intended meaning of uncertainty.
78,up in the air,uncertain,up in the air,floating in the sky,Should convey uncertainty.,isolated,google-translate,en el aire,,False,True,0.2,meaning_shift,The translation 'en el aire' literally means 'in the air' and does not convey the intended meaning of uncertainty.
79,water under the bridge,past issue no longer important,That argument is water under the bridge now.,water flowing below a bridge,Should convey resolved past matter.,context,google-translate,Ese argumento ya es agua pasada.,,True,False,0.9,none,The Spanish translation conveys the intended meaning of a past issue that is no longer important.
80,water under the bridge,past issue no longer important,water under the bridge,water flowing below a bridge,Should convey resolved past matter.,isolated,google-translate,agua bajo el puente,,False,True,0.3,literalized_idiom,The translation is a literal rendering and does not convey the intended meaning of a past issue no longer being important.
81,wrap your head around,understand something difficult,It took me days to wrap my head around quantum mechanics.,physically wrap head around something,Should convey comprehension.,context,google-translate,Me llevó días entender la mecánica cuántica.,,True,False,0.9,none,The translation conveys the intended meaning of understanding something difficult.
82,wrap your head around,understand something difficult,wrap your head around,physically wrap head around something,Should convey comprehension.,isolated,google-translate,envuelve tu cabeza alrededor,,False,True,0.9,literalized_idiom,The translation is a literal rendering that does not convey the intended meaning of understanding something difficult.
83,your guess is as good as mine,I do not know either,Why is the printer broken? Your guess is as good as mine.,another guess equals mine,Should convey shared ignorance.,context,google-translate,¿Por qué está rota la impresora? Tu suposición es tan buena como la mía.,,False,True,0.4,meaning_shift,The translation does not convey the shared ignorance effectively and reads as a literal translation.
84,your guess is as good as mine,I do not know either,your guess is as good as mine,another guess equals mine,Should convey shared ignorance.,isolated,google-translate,tu suposición es tan buena como la mía,,False,True,0.4,meaning_shift,The translation does not convey the intended meaning of shared ignorance and instead suggests a comparison of guesses.
85,hit the nail on the head,describe exactly correctly,You hit the nail on the head with that diagnosis.,strike a nail accurately,Should convey exact correctness.,context,google-translate,Has dado en el clavo con ese diagnóstico.,,True,False,0.9,none,The translation conveys the intended meaning of describing something exactly correctly.
86,hit the nail on the head,describe exactly correctly,hit the nail on the head,strike a nail accurately,Should convey exact correctness.,isolated,google-translate,en el clavo,,True,False,0.9,none,The Spanish translation 'en el clavo' conveys the intended meaning of describing something exactly correctly.
87,open a can of worms,create many new problems,Changing that policy now would open a can of worms.,open a container of worms,Should convey causing complications.,context,google-translate,Cambiar esa política ahora abriría una lata de gusanos.,,False,True,0.2,literalized_idiom,The translation is a literal rendering of the idiom and does not convey the intended meaning of creating new problems.
88,open a can of worms,create many new problems,open a can of worms,open a container of worms,Should convey causing complications.,isolated,google-translate,abrir una lata de gusanos,,False,True,0.2,literalized_idiom,The translation is a literal rendering and does not convey the intended meaning of creating new problems.
89,steal someone's thunder,take attention or credit,He stole my thunder by announcing it first.,steal weather noise,Should convey taking spotlight.,context,google-translate,Me robó el trueno al anunciarlo primero.,,False,True,0.3,literalized_idiom,"The translation is a literal rendering of the idiom, which does not convey the intended meaning of taking attention or credit."
90,steal someone's thunder,take attention or credit,steal someone's thunder,steal weather noise,Should convey taking spotlight.,isolated,google-translate,robarle el trueno a alguien,,False,True,0.2,literalized_idiom,The translation is a literal rendering that does not convey the intended meaning of taking attention or credit.
91,the last straw,final small problem causing collapse,"When they cut bonuses, that was the last straw.",the final piece of straw,Should convey breaking point.,context,google-translate,"Cuando recortaron las bonificaciones, eso fue el colmo.",,True,False,0.9,none,"The translation conveys the intended meaning of a breaking point, which aligns with the idiom's use."
92,the last straw,final small problem causing collapse,the last straw,the final piece of straw,Should convey breaking point.,isolated,google-translate,la última gota,,True,False,0.9,none,"The translation 'la última gota' conveys the idea of a final small problem leading to a collapse, similar to the English idiom."
93,time flies,time passes quickly,Time flies when you're building startups.,time has wings and flies,Should convey rapid passage of time.,context,google-translate,El tiempo vuela cuando estás creando nuevas empresas.,,True,False,0.9,none,The translation conveys the intended meaning of time passing quickly.
94,time flies,time passes quickly,time flies,time has wings and flies,Should convey rapid passage of time.,isolated,google-translate,El tiempo vuela,,True,False,0.9,none,The translation 'El tiempo vuela' conveys the intended meaning of time passing quickly.
95,turn a blind eye,ignore intentionally,Management turned a blind eye to the violations.,rotate a blind eye,Should convey deliberate ignoring.,context,google-translate,La dirección hizo la vista gorda ante las violaciones.,,True,False,0.9,none,"The Spanish translation conveys the intended meaning of ignoring intentionally, using a different idiom that is commonly understood."
96,turn a blind eye,ignore intentionally,turn a blind eye,rotate a blind eye,Should convey deliberate ignoring.,isolated,google-translate,hacer la vista gorda,,True,False,0.9,none,The Spanish idiom 'hacer la vista gorda' conveys the same meaning of intentionally ignoring something.
97,walk on eggshells,act very carefully to avoid upsetting someone,We all walk on eggshells around the new manager.,walk physically on eggshells,Should convey cautious behavior.,context,google-translate,Todos caminamos sobre cáscaras de huevo con el nuevo gerente.,,False,True,0.7,literalized_idiom,The translation is a literal rendering of the idiom and does not convey the intended meaning of acting carefully to avoid upsetting someone.
98,walk on eggshells,act very carefully to avoid upsetting someone,walk on eggshells,walk physically on eggshells,Should convey cautious behavior.,isolated,google-translate,caminar sobre cáscaras de huevo,,False,True,0.2,literalized_idiom,The translation is a literal rendering and does not convey the intended meaning of cautious behavior.
99,wear many hats,have many roles,"At the startup, she wears many hats.",put on multiple hats,Should convey multiple responsibilities.,context,google-translate,"En la puesta en marcha, ella desempeña muchas funciones.",,True,False,0.9,none,The translation conveys the intended meaning of having multiple roles or responsibilities.
100,wear many hats,have many roles,wear many hats,put on multiple hats,Should convey multiple responsibilities.,isolated,google-translate,usar muchos sombreros,,False,True,0.2,literalized_idiom,The translation 'usar muchos sombreros' is a literal rendering and does not convey the intended meaning of having multiple roles or responsibilities.
101,when pigs fly,never,He'll clean his room when pigs fly.,at the time pigs can fly,Should convey impossibility.,context,google-translate,Limpiará su habitación cuando los cerdos vuelen.,,True,True,0.9,none,"The translation conveys the intended meaning of impossibility, even though it is a literal translation."
102,when pigs fly,never,when pigs fly,at the time pigs can fly,Should convey impossibility.,isolated,google-translate,cuando las ranas críen pelos,,True,False,0.9,none,"The Spanish translation conveys the intended meaning of impossibility, similar to the English idiom."
